ID,sectors,regions,ESG_class,ESG_score,final_rating_env,final_normalized_score_env,final_rating_social,final_normalized_score_social,final_rating_governance,final_normalized_score_governance,MORE_score_2022,MORE_score_2021,MORE_score_2020,total_assets_2022,total_assets_2021,total_assets_2020,current_assets_2022,current_assets_2021,current_assets_2020,shareholders_funds_2022,shareholders_funds_2021,shareholders_funds_2020,current _liabilities_2022,current _liabilities_2021,current _liabilities_2020,turnover_2022,turnover_2021,turnover_2020,EBIT_2022,EBIT_2021,EBIT_2020,net_income_2022,net_income_2021,net_income_2020,EBITDA_2022,EBITDA_2021,EBITDA_2020
985,"Wood, Furniture & Paper Manufacturing",Emilia-Romagna,S4,0.542857143,S2,0.785714286,S6,0.214285714,S4,0.5,0,BB,B,n.a.,33650.249,28046.505,n.a.,24433.06,20523.625,n.a.,5523.301,3524.965,n.a.,18783.939,15398.974,n.a.,50671.542,50671.542,n.a.,1148.799,573.381,n.a.,556.332,-243.757,n.a.,2280.898,834.679
986,"Industrial, Electric & Electronic Machinery",Emilia-Romagna,S3,0.657142857,S2,0.785714286,S2,0.785714286,S4,0.5,A,A,A,75524.66,63149.724,64658.366,66911.453,54906.726,56209.958,32201.122,27923.222,25552.584,39854.71,30780.826,35899.59,45693.031,39119.071,39119.071,5322.7,6071.069,6503.963,4277.9,4370.638,4866,5787.17,6482.663,6915.162
987,Metals & Metal Products,Emilia-Romagna,S2,0.814285714,S2,0.785714286,S1,0.928571429,S2,0.785714286,BB,BB,BB,179440.055,142830.813,152602.915,43715.6,52738.291,52923.488,118794.047,76299.438,68177.55,22926.032,23186.437,41102.396,44684.79,42509.88,42509.88,-3291.53,-911.133,1518.49,14507.49,6641.917,4695.824,2509.032,5300.849,5841.181
988,"Chemicals, Petroleum, Rubber & Plastic",Emilia-Romagna,S3,0.692857143,S2,0.785714286,S3,0.642857143,S3,0.642857143,B,BB,BB,41474.692,32853.323,33465.928,28724.182,25941.807,26279.857,9637.575,11026.146,11003.135,24129.373,16938.886,15319.46,44065.587,42795.911,42795.911,169.002,1569.503,2616.269,17.954,1023.012,1817.569,1243.439,2901.965,4234.142
989,Food & Tobacco Manufacturing,Emilia-Romagna,S4,0.592857143,S2,0.785714286,S2,0.785714286,S5,0.357142857,BB,A,BBB,29217.452,22118.655,15609.37,17049.099,13544.291,8685.636,7313.738,7650.686,4347.636,15404.684,9798.829,8223.975,43695.168,36129.582,36129.582,658.144,4349.615,1380.006,297.551,3143.271,955.757,1835.265,5064.967,2046.709
990,"Chemicals, Petroleum, Rubber & Plastic",Emilia-Romagna,S4,0.478571429,S5,0.357142857,S3,0.642857143,S4,0.5,BB,B,BB,33130.536,35707.976,33500.219,25799.742,27342.72,19108.061,8530.746,6792.346,10034.929,20887.508,23658.667,16734.312,40305.818,33767.004,33767.004,2483.33,246.512,2130.206,1532.837,202.997,1710.435,4060.12,2732.725,4158.987
991,"Industrial, Electric & Electronic Machinery",Emilia-Romagna,S4,0.628571429,S2,0.785714286,S3,0.642857143,S4,0.5,BB,BB,BBB,49304.04,47995.968,44002.282,27431.592,27230.808,24937.817,21170.661,20269.517,18766.498,17061.743,14602.533,12645.643,31970.058,26585.586,26585.586,1712.558,2292.723,2857.001,901.145,1503.019,2189.46,2799.747,3292.857,3909.376
992,Transport Manufacturing,Emilia-Romagna,S3,0.685714286,S2,0.785714286,S1,0.928571429,S4,0.5,A,BBB,BBB,57678.572,57736.174,57310.806,56402.15,55720.485,53877.734,46314.587,45936.079,44327.142,8484.593,7674.419,7143.822,29910.089,26437.396,26437.396,1017.306,-10.448,2008.149,2378.509,1608.937,2682.922,1872.895,1562.166,2894.334
993,Metals & Metal Products,Emilia-Romagna,S4,0.571428571,S2,0.785714286,S5,0.357142857,S4,0.5,0,AA,AA,n.a.,45837.497,46780.046,n.a.,27629.777,26976.32,n.a.,34128.669,28176.876,n.a.,8719.205,14561.91,n.a.,26026.83,26026.83,n.a.,7914.797,4907.57,n.a.,6256.094,4064.1,n.a.,10078.615,6640.242
994,"Chemicals, Petroleum, Rubber & Plastic",Emilia-Romagna,S3,0.635714286,S2,0.785714286,S5,0.357142857,S3,0.642857143,CCC,CCC,CCC,46579.125,43327.929,42916.567,16091.734,14201.617,12827.193,12886.836,12358.368,6567.145,13048.536,11191.35,15135.546,26633.548,23593.574,23593.574,-845.123,-1230.29,-1287.917,-1471.532,-1729.269,-1764.754,1405.339,1166.37,1534.996
995,Textiles & Clothing Manufacturing,Emilia-Romagna,S4,0.478571429,S5,0.357142857,S3,0.642857143,S4,0.5,BB,BB,B,35234.665,35542.419,35068.183,16769.988,16680.14,15165.793,12450.725,10847.711,9492.64,10848.958,11289.241,16646.255,24784.671,22980.161,22980.161,1895.498,1032.84,1038.588,1590.704,744.436,-313.113,3022.931,2202.39,2257.148
996,"Industrial, Electric & Electronic Machinery",Emilia-Romagna,S4,0.485714286,S5,0.357142857,S5,0.357142857,S3,0.642857143,0,AA,AA,n.a.,20070.646,18840.7,n.a.,15072.486,13715.083,n.a.,13593.6,11380.31,n.a.,4944.869,5427.724,n.a.,17634.671,17634.671,n.a.,2937.035,2700.177,n.a.,2213.287,1892.753,n.a.,3575.739,2943.141
997,Food & Tobacco Manufacturing,Emilia-Romagna,S3,0.721428571,S2,0.785714286,S2,0.785714286,S3,0.642857143,CC,CCC,CCC,16322.186,15680.344,16546.883,12818.031,12471.876,12683.188,1275.826,3252.039,4327.129,10393.309,6689.505,6622.805,19583.416,17244.794,17244.794,-1750.5,-1115.333,-1109.509,-1947.096,-1086.655,-1164.49,-819.882,493.153,-244.889
998,Food & Tobacco Manufacturing,Emilia-Romagna,S4,0.514285714,S5,0.357142857,S4,0.5,S3,0.642857143,B,A,BBB,31954.707,7222.881,4862.268,10812.75,5011.672,2853.592,13958.857,2326.413,1064.849,10026.479,3567.167,1956.332,16790.403,10177.636,10177.636,-226.76,1747.265,922.655,-896.881,1261.563,671.571,2504.291,2249.62,1251.112
999,Metals & Metal Products,Emilia-Romagna,S3,0.757142857,S2,0.785714286,S3,0.642857143,S2,0.785714286,BB,BB,BB,40771.798,31788.808,31286.827,19541.389,17288.921,17318.653,12099.95,11169.593,10704.749,9128.14,6602.796,6814.708,20127.624,16225.66,16225.66,1122.053,1005.217,1385.141,500.543,526.194,236.377,2793.503,2557.136,2786.784
1000,Miscellaneous Manufacturing,Emilia-Romagna,S4,0.592857143,S2,0.785714286,S2,0.785714286,S5,0.357142857,BBB,BBB,BB,22927.816,19888.927,16080.715,9247.075,9273.805,9321.414,10567.427,10106.606,9428.956,6598.535,5298.959,4003.038,18322.056,14109.712,14109.712,672.994,1016.635,153.79,460.821,677.651,-106.279,1746.929,2024.718,1054.107
1001,Metals & Metal Products,Emilia-Romagna,S4,0.607142857,S2,0.785714286,S6,0.214285714,S3,0.642857143,AA,AA,A,16813.186,13658.118,8647.152,9486.941,7230.28,3910.514,10807.086,9620.945,6700.538,3634.471,3403.479,1494.825,12766.626,10774.533,10774.533,2536.605,1912.51,597.196,1886.139,1348.067,469.993,2885.061,2194.601,831.071
1002,Miscellaneous Manufacturing,Emilia-Romagna,S4,0.571428571,S2,0.785714286,S5,0.357142857,S4,0.5,0,BBB,BB,n.a.,11918.785,11835.434,n.a.,4605.038,4078.181,n.a.,3693.525,3207.599,n.a.,4319.063,4124.267,n.a.,11980.65,11980.65,n.a.,694.072,280.405,n.a.,463.221,54.323,n.a.,1510.474,980.457
1003,"Industrial, Electric & Electronic Machinery",Emilia-Romagna,S4,0.485714286,S5,0.357142857,S5,0.357142857,S3,0.642857143,CCC,BB,CCC,8510.714,8170.082,6256.497,6882.475,6261.22,4929.627,1545.078,2024.391,2007.607,4939.11,3805.301,2471.671,10855.682,9623.64,9623.64,-422.322,46.741,-509.567,-479.313,16.782,-522.477,29.347,343.334,-285.426
1004,"Chemicals, Petroleum, Rubber & Plastic",Emilia-Romagna,S5,0.461038961,S5,0.357142857,S3,0.642857143,,,AA,AA,AA,10183.61,10872.547,9016.494,5003.482,9187.293,7113.425,8121.904,8373.412,7250.692,1603.128,2005.974,1288.31,8937.108,8191.336,8191.336,1647.528,1554.515,1299.126,1248.492,1197.721,971.41,1926.196,1834.122,1587.319
1005,"Chemicals, Petroleum, Rubber & Plastic",Emilia-Romagna,S3,0.735714286,S3,0.642857143,S2,0.785714286,S2,0.785714286,AA,0,0,119757.21,n.a.,n.a.,76020.259,n.a.,n.a.,69376.711,n.a.,n.a.,33543.621,n.a.,n.a.,181776.459,n.a.,n.a.,22825.021,n.a.,n.a.,14998.229,n.a.,n.a.,29352.527,n.a.,n.a.
1006,Wholesale,Emilia-Romagna,S5,0.435714286,S6,0.214285714,S5,0.357142857,S3,0.642857143,B,B,B,15788.997,14609.038,14194.671,12369.521,11057.519,10485.287,2599.723,2383.941,2288.966,10799.06,9001.223,8065.754,18906.45,17810.979,17810.979,657.117,500.743,375.399,215.779,94.979,47.094,834.782,699.329,584.658
1007,Retail,Emilia-Romagna,S3,0.642857143,S3,0.642857143,S3,0.642857143,S3,0.642857143,B,A,AA,1687.815,1962.464,1680.687,507.884,770.666,532.586,1246.131,1394.932,1367.987,403.678,509.831,259.67,5963.057,4994.273,4994.273,-201.029,29.927,265.259,-148.802,26.945,201.271,-32.699,n.a.,357.039
1008,Wholesale,Emilia-Romagna,S3,0.678571429,S3,0.642857143,S4,0.5,S2,0.785714286,BB,BB,BB,129247.991,95799.22,57147.117,103398.142,70846.055,48919.527,24316.929,23395.935,11787.974,87985.615,57684.382,40594.642,368721.357,235019.774,235019.774,8360.349,4885.701,4054.389,3782.727,3127.463,2525.725,11069.763,6578.783,5284.566
1009,Wholesale,Emilia-Romagna,S5,0.4,S6,0.214285714,S4,0.5,S4,0.5,BBB,BBB,BBB,41125.91,41765.458,34829.895,34291.954,35203.143,27557.116,12616.591,11594.105,10780.926,26325.777,27265.225,21059.723,270014.871,208953.021,208953.021,2293.127,1099.546,954.505,990.221,800.469,724.471,3008.047,1875.025,1673.564
1010,Utilities,Emilia-Romagna,S3,0.635714286,S2,0.785714286,S5,0.357142857,S3,0.642857143,BB,BB,B,333903,282932,215596,281527,228765,169015,52084,27596,17231,163489,187549,119487,970744,796732,796732,15252,9061,4499,4852,5319,562,38659,25761,21269
1011,Utilities,Emilia-Romagna,S4,0.6,S2,0.785714286,S4,0.5,S4,0.5,BB,BB,BB,24256.549,26243.017,23976.675,8851.183,10127.35,7803.655,10417.691,9963.367,9907.048,3904.299,5097.923,2209.858,4558.31,3162.736,3162.736,943.578,340.658,213.075,454.324,56.318,143.154,2020.876,1437.255,974.074
1012,Utilities,Emilia-Romagna,S3,0.678571429,S5,0.357142857,,,S1,0.928571429,CCC,CCC,B,2236.105,2606.036,2941.132,529,352.219,290.696,79.18,80.057,90.5,1444.524,1398.588,1379.235,99.04,120.238,120.238,31.851,55.482,1.055,31.123,32.557,43.195,65.469,89.1,34.673
1013,Utilities,Emilia-Romagna,S4,0.578571429,S5,0.357142857,S4,0.5,S2,0.785714286,BB,BB,BB,11717059,10310454,9554265,3286142,2595060,2255696,3191154,2950660,2763528,3116810,2602786,1759511,7863043,4955871,4955871,534704,540007,488416,226016,303088,235322,1057296,1017897,929326
1014,Construction,Emilia-Romagna,S4,0.62987013,S2,0.785714286,S5,0.357142857,,,B,B,B,315569.892,295900.751,266620.047,297145.153,279035.962,257794.617,40999.326,37966.309,36699.595,209576.296,185329.602,178606.671,411742.752,361884.175,361884.175,6532.892,4575.143,3765.955,2558.198,1500.253,1316.964,11356.101,8875.488,8028.839
1015,Construction,Emilia-Romagna,S4,0.492857143,S5,0.357142857,S7,0.071428571,S2,0.785714286,BBB,BBB,BB,81148.174,64436.035,11814.536,80332.183,64116.048,11473.371,19028.283,9885.835,3246.979,51372.008,51122.438,4856.435,99206.466,46802.15,46802.15,14850.791,10233.683,1327.127,9044.483,7236.593,870.884,14938.422,10282.127,1449.234
1016,Construction,Emilia-Romagna,S4,0.571428571,S5,0.357142857,S2,0.785714286,S3,0.642857143,AA,A,A,9252.98,7664.627,7263.161,8441.034,7023.315,6779.278,4938.149,3386.155,2695.259,3224.326,2722.198,2710.465,8477.35,8929.829,8929.829,2176.367,1153.976,1172.21,1551.995,790.896,835.518,2295.605,1229.219,1230.933
1017,Construction,Emilia-Romagna,S3,0.75,S2,0.785714286,S1,0.928571429,S3,0.642857143,BBB,BBB,A,1060873.773,702100.777,616157.283,964334.709,578749.596,496264.229,336979.414,320695.499,312994.022,721358.855,365748.676,302474.106,370601.267,276313.027,276313.027,10369.227,8163.261,29679.78,14204.184,5555.298,35736.784,45642.395,36460.161,50972.516
1018,Construction,Emilia-Romagna,S2,0.814285714,S2,0.785714286,S1,0.928571429,S2,0.785714286,B,CC,BB,678168.995,677868.399,732067.832,490073.986,487871.51,548035.949,162760.962,156711.468,217423.584,322920.124,330071.392,380228.138,404211.619,418373.569,418373.569,17600.09,-50695.14,52929.275,-15227.126,-61897.268,5150.066,48495.211,-50452,53473.373
1019,Wholesale,Emilia-Romagna,S3,0.7,S2,0.785714286,S5,0.357142857,S2,0.785714286,BBB,BBB,BB,387384.84,379320.01,344002.589,188679.203,182404.614,154113.355,173341.008,175090.357,170112.033,109054.122,108961.481,80086.444,212848.848,189934.603,189934.603,15973.074,10409.699,5633.411,21383.461,19570.275,9603.477,21529.05,15234.575,9111.035
1020,Wholesale,Emilia-Romagna,S4,0.571428571,S2,0.785714286,S5,0.357142857,S4,0.5,BB,BB,BB,56394.711,44381.277,42244.334,52670.513,42727.735,41191.396,14390.032,11928.436,10484.618,33051.152,24100.802,24413.956,108935.346,93014.741,93014.741,3151.699,2447.045,1825.962,1845.83,1427.72,1257.735,3802.334,2831.595,2266.57
1021,Wholesale,Emilia-Romagna,S5,0.392857143,S5,0.357142857,S6,0.214285714,S4,0.5,B,B,BB,51634.012,53197.584,53975.395,38253.144,38967.694,39322.955,12489.17,12454.219,12172.767,31987.589,31931.793,33296.846,49356.565,52555.55,52555.55,15.951,938.479,1262.289,-107.588,281.451,414.858,1129.198,2143.839,2042.387
1022,Wholesale,Emilia-Romagna,S4,0.6,S2,0.785714286,S4,0.5,S4,0.5,BBB,BBB,BBB,21315.422,19529.224,19879.597,19949.744,18151.623,18528.554,7924.586,7579.929,6944.237,10201.59,8370.308,11320.398,25562.71,34602.413,34602.413,1839,2339.836,2281.705,1168.656,1464.583,1486.288,1895.821,2404.291,2336.07
1023,"Travel, Personal & Leisure",Emilia-Romagna,S4,0.485714286,S5,0.357142857,S5,0.357142857,S3,0.642857143,B,CC,CC,1236.053,939.454,719.864,769.063,527.591,321.064,34.426,-1.596,-19.912,907.11,659.423,447.632,2350.067,1686.166,1686.166,26.429,-15.569,-55.927,13.422,12.315,-76.922,105.825,44.766,-55.338
1024,Business Services,Emilia-Romagna,S3,0.657142857,S1,0.928571429,S6,0.214285714,S3,0.642857143,A,A,BBB,58689.888,56535.196,44308.269,47754.161,49894.959,40665.085,22988.854,19244.973,16053.872,30059.882,29621.792,22897.973,194262.324,169846.988,169846.988,8543.379,6943.069,3770.809,5823.796,4793.467,2713.265,9613.23,8144.597,4697.26
1025,Business Services,Emilia-Romagna,S2,0.807142857,S1,0.928571429,S3,0.642857143,S2,0.785714286,B,B,B,56084.714,59937.726,64959.736,15934.763,14956.799,15598.271,8900.204,11608.023,14394.679,6283.992,7554.649,9442.856,32894.526,32839.965,32839.965,1119.925,309.848,326.464,-2707.822,-2786.655,-3268.131,7777.344,6861.19,6319.682
1026,Business Services,Emilia-Romagna,S4,0.614285714,S3,0.642857143,S4,0.5,S3,0.642857143,BB,BB,BB,24826.137,24158.309,21775.025,16518.323,17991.519,18456.291,6338.133,5693.813,4101.585,12225.68,11985.852,13478.151,22567.109,23930.165,23930.165,1047.993,2023.527,1508.67,613.137,1582.493,1085.247,1698.63,2593.805,2311.24
1027,Business Services,Emilia-Romagna,S3,0.657142857,S1,0.928571429,S6,0.214285714,S3,0.642857143,AA,A,A,11640.502,10483.273,9939.897,7890.675,6486.121,6040.292,7776.633,6189.727,4852.971,2192.256,2265.798,2733.989,8219.82,7589.835,7589.835,1311.673,1111.963,2008.426,1666.903,1416.755,1572.993,1676.82,1496.282,2204.085
1028,Business Services,Emilia-Romagna,S3,0.714285714,S1,0.928571429,S4,0.5,S3,0.642857143,B,BB,B,17668.787,17310.666,15137.865,11168.703,10527.184,8719.96,4295.255,4204.98,3808.696,8739.721,9950.962,7716.817,11654.613,10625.626,10625.626,353.06,673.027,433.581,90.274,396.288,90.169,1447.657,1644.064,1295.686
1029,"Transport, Freight & Storage",Emilia-Romagna,S4,0.585714286,S1,0.928571429,S4,0.5,S5,0.357142857,BB,BB,BB,92750.874,75784.515,69590.181,53656.089,43368.329,31970.553,27033.182,24880.389,23664.888,35850.535,27742.651,20344.252,87189.327,64125.65,64125.65,6547.002,1922.396,2353.367,2152.799,1215.501,1327.722,10961.387,5676.907,6182.126
1030,"Transport, Freight & Storage",Emilia-Romagna,S2,0.835714286,S1,0.928571429,S2,0.785714286,S2,0.785714286,B,BBB,BB,39440.855,42587.612,45641.401,15461.014,21056.197,23788.587,29319.471,32009.003,31978.834,6858.651,6308.279,8956.384,16484.639,23381.581,23381.581,-2647.176,65.334,77.4,-2793.57,42.318,-29.261,-1065.128,1696.687,1784.127
1031,"Transport, Freight & Storage",Emilia-Romagna,S3,0.685714286,S1,0.928571429,S5,0.357142857,S3,0.642857143,BBB,BBB,BBB,11758.977,9542.383,10043.171,10190.661,8329.299,8682.566,4244.945,3891.077,3834.891,5660.65,3902.486,4547.117,17045.977,13955.672,13955.672,497.584,79.355,158.838,353.868,56.185,130.692,879.314,433.232,598.104
1032,"Transport, Freight & Storage",Emilia-Romagna,S3,0.75,S1,0.928571429,S5,0.357142857,S2,0.785714286,B,BB,BBB,149610.783,117612.202,109386.198,134900.188,101957.626,95078.348,24710.877,29547.251,28735.494,110937.232,79245.696,64932.884,399032.069,359022.052,359022.052,-752.188,1235.892,1995.777,-2836.005,774.021,1233.973,2639.035,4706.088,5418.609
1033,"Transport, Freight & Storage",Emilia-Romagna,S2,0.771428571,S1,0.928571429,S2,0.785714286,S3,0.642857143,0,CCC,CC,n.a.,275071.689,265211.58,n.a.,81514.568,65985.763,n.a.,29406.57,33022.836,n.a.,201803.576,193696.517,n.a.,128466.33,128466.33,n.a.,5667.132,-1522.471,n.a.,2164.898,-6255.005,n.a.,13353.504,5750.222
1034,Wholesale,Emilia-Romagna,S5,0.378571429,S6,0.214285714,S7,0.071428571,S3,0.642857143,A,BBB,BBB,655458.59,657227.301,642190.499,504537.134,490518.617,477733.055,420329.894,387932.846,367995.891,186096.501,219195.171,206248.796,638457.035,513602.743,513602.743,39166.21,29562.397,35697.379,39897.058,20286.958,2023.992,64022.574,54029.619,56297.703
1035,Wholesale,Emilia-Romagna,S3,0.664285714,S2,0.785714286,S4,0.5,S3,0.642857143,0,BB,BB,n.a.,409066.605,383959.691,n.a.,260279.357,241854.726,n.a.,164765.627,154574.228,n.a.,166961.508,168677.317,n.a.,233547.909,233547.909,n.a.,13258.23,16115.27,n.a.,8113.195,12772.822,n.a.,25103.137,26620.645
1036,Wholesale,Emilia-Romagna,S3,0.664285714,S2,0.785714286,S4,0.5,S3,0.642857143,BBB,BBB,BBB,343401.996,287184.17,272703.538,188924.931,136410.068,111563.296,192944.806,177754.759,167738.71,101962.016,95126.707,79647.262,258369.344,184339.924,184339.924,17618.414,12136.307,11954.92,11979.302,7666.823,9697.719,35004.292,28177.711,24061.205
1037,Wholesale,Emilia-Romagna,S3,0.664285714,S2,0.785714286,S4,0.5,S3,0.642857143,AAA,AAA,AAA,73367.419,72310.166,56326.314,65284.381,63494.061,49786.46,50730.302,53044.774,40824.634,17572.721,18715.943,14978.208,127525.368,104493.515,104493.515,36024.623,34362.136,27178.078,25211.661,24720.143,20459.782,36365.53,34606.288,27315.726
1038,Wholesale,Emilia-Romagna,S4,0.542857143,S5,0.357142857,S3,0.642857143,S3,0.642857143,BB,BBB,BBB,52626.964,38860.571,32087.979,42515.481,30012.08,23247.127,12805.337,12176.165,11327.53,35528.842,23068.142,19065.877,107432.383,82113.434,82113.434,2704.158,3096.927,3227.415,1885.873,2334.405,2404.288,3917.052,3920.293,3629.852
1039,Retail,Emilia-Romagna,S4,0.628571429,S2,0.785714286,S3,0.642857143,S4,0.5,A,BBB,BB,41358.811,41734.578,43742.912,10639.896,10458.62,11233.42,22070.593,17871.476,17326.053,10975.875,12479.055,13097.077,33195.001,30064.051,30064.051,1926.274,2097.348,554.567,5418.78,1508.422,2554.915,6384.28,6445.717,4704.378
1040,Wholesale,Emilia-Romagna,S4,0.478571429,S5,0.357142857,S3,0.642857143,S4,0.5,BB,BB,BB,28183.595,21529.606,20040.735,21765.21,16903.122,16103.417,8026.698,5926.7,4759.451,15370.557,10607.496,9129.22,29914.049,25199.813,25199.813,3845.853,1760.938,1406.25,2084.945,1177.79,1209.562,4434.422,2174.231,2022.622
1041,Communications,Emilia-Romagna,S3,0.735714286,S3,0.642857143,S2,0.785714286,S2,0.785714286,BBB,BBB,BBB,95383.603,87362.685,89803.901,34335.254,26749.899,29526.503,40035.244,39273.469,36908.054,54675.315,47521.261,52340.347,79265.738,75873.007,75873.007,9236.891,10567.644,10327.281,5883.172,7316.28,7072.663,18412.437,19059.253,19039.484
1042,"Public Administration, Education, Health Social Services",Emilia-Romagna,S4,0.528571429,S6,0.214285714,S4,0.5,S2,0.785714286,BB,BBB,BB,129722,91635,68745,64762,62542,46548,52176,45173,21546,71893,44826,44056,55514,45090,45090,5281,5850,5630,4350,4972,3772,11177,9896,9584
1043,Computer Software,Emilia-Romagna,S4,0.564285714,S1,0.928571429,S7,0.071428571,S4,0.5,A,A,A,27280.783,26107.571,22574.446,18916.103,19009.573,15635.542,12055.457,10673.423,9498.9,11701.332,12897.545,10644.25,41555.898,30617.536,30617.536,3320.616,2791.407,2007.188,2313.096,1974.526,1450.345,3837.016,3256.98,2239.84
1044,Business Services,Emilia-Romagna,S4,0.628571429,S1,0.928571429,S7,0.071428571,S3,0.642857143,A,A,AA,70630.856,55174.533,58622.231,61078.435,44762.366,49599.005,40698.396,36131.786,39498.087,28339.708,17611.195,16262.346,55504.819,28085.929,28085.929,6947.395,5459.764,15820.85,4566.613,3653.698,10951.059,7925.188,6391.751,16492.888
1045,"Public Administration, Education, Health Social Services",Emilia-Romagna,S3,0.742857143,S1,0.928571429,S3,0.642857143,S3,0.642857143,0,AA,AA,n.a.,1918.617,2051.336,n.a.,1867.493,2008.409,n.a.,794.798,997.255,n.a.,1013.691,962.798,n.a.,3249.637,3249.637,n.a.,703.024,988.298,n.a.,505.543,708.13,n.a.,707.613,993.755
1046,Biotechnology and Life Sciences,Emilia-Romagna,S3,0.692857143,S1,0.928571429,S7,0.071428571,S2,0.785714286,0,CCC,CC,n.a.,419.978,403.789,n.a.,222.601,317.805,n.a.,43.176,-4.487,n.a.,181.409,109.559,n.a.,148.238,148.238,n.a.,8.772,-15.622,n.a.,1.665,-17.753,n.a.,n.a.,15.836
1047,Business Services,Emilia-Romagna,S3,0.714285714,S4,0.5,S1,0.928571429,S2,0.785714286,0,BBB,BB,n.a.,1089526,941704,n.a.,742134,605498,n.a.,436191,360161,n.a.,411793,321552,n.a.,1095258,1095258,n.a.,78278,65696,n.a.,62678,53852,n.a.,121014,108492
1048,Business Services,Emilia-Romagna,S3,0.692857143,S4,0.5,S4,0.5,S1,0.928571429,0,B,B,n.a.,35245.982,30502.12,n.a.,16856.11,13911.799,n.a.,13853.909,13917.49,n.a.,12003.144,6051.079,n.a.,8670.373,8670.373,n.a.,370.054,-262.572,n.a.,-63.581,-422.154,n.a.,1864.518,1064.443
1049,Business Services,Emilia-Romagna,S1,0.9,S1,0.928571429,S2,0.785714286,S1,0.928571429,BB,BBB,BB,19627.331,18927.937,18625.119,66.843,284.437,111.119,17795.283,17004.841,16462.911,112.101,104.725,285.616,300.699,277.756,277.756,-13.936,-12.77,-55.983,790.443,541.927,697.853,n.a.,n.a.,-51.614
1050,Business Services,Emilia-Romagna,S2,0.803571429,S3,0.642857143,,,S1,0.928571429,B,B,A,80212.749,57950.076,48197.231,20984.608,9975.149,12981.684,21067.007,21184.124,29957.173,43650.393,29177.519,11278.619,861.111,410.623,410.623,-838.61,-308.614,-66.096,882.885,1226.949,29798.188,-838.486,-308.278,-65.548
1051,Business Services,Emilia-Romagna,S1,0.928571429,S1,0.928571429,,,,,A,BBB,BB,4906.928,3548.749,2815.477,2209.707,1207.469,736.811,2887.368,1807.522,1055.512,659.56,1736.227,1759.965,67.057,17.036,17.036,-47.147,-39.277,-4.482,1079.847,752.008,397.943,-46.798,-39.061,-4.057
1052,"Agriculture, Horticulture & Livestock",Toscana,S5,0.464285714,S6,0.214285714,S4,0.5,S3,0.642857143,BBB,BB,BBB,493360.108,454689.326,413442.046,199728.584,174455.277,163997.864,201462.742,181507.182,195244.94,123550.207,129685.001,93668.561,273606.319,230779.868,230779.868,22414.679,8307.827,15308.766,15310.455,3365.172,10331.928,48023.832,32717.491,33583.474
1053,"Agriculture, Horticulture & Livestock",Toscana,S4,0.614285714,S3,0.642857143,S4,0.5,S3,0.642857143,A,BBB,BBB,16911.153,16396.301,15686.488,8057.384,7372.509,6748.633,9926.051,8814.122,8354.207,5693.207,6176.289,6165.245,5651.724,4742.861,4742.861,1253.87,600.16,863.904,1111.928,459.914,736.848,1435.789,742.195,1009.825
1054,"Agriculture, Horticulture & Livestock",Toscana,S2,0.764285714,S3,0.642857143,S1,0.928571429,S2,0.785714286,BBB,BBB,BBB,1367.13,1377.648,1481.821,479.693,448.677,428.184,374.498,356.938,291.211,425.339,460.5,554.889,1372.505,1558.053,1558.053,35.407,79.274,127.307,17.56,65.725,114.054,198.256,215.901,254.64
1055,"Agriculture, Horticulture & Livestock",Toscana,S3,0.642857143,S3,0.642857143,S3,0.642857143,,,CCC,CCC,BB,70966.89,71148.157,66830.463,32312.461,34474.504,31236.426,18768.012,18306.742,19153.168,38636.502,36869.123,34949.748,78286.66,76736.16,76736.16,-2328.476,-1970.845,1122.539,-2542.165,-479.433,1817.044,-898.123,-709.245,2384.108
1056,Mining & Extraction,Toscana,S3,0.635714286,S2,0.785714286,S5,0.357142857,S3,0.642857143,BB,BBB,BB,119458.368,104586.649,106227.435,90634.382,76403.123,78895.571,42189.52,46528.993,39810.027,71278.547,53735.845,57535.645,1466931.27,1238986.364,1238986.364,6224.03,19178.372,13110.769,4106.467,13468.888,8684.602,8049.224,20664.585,14481.954
1057,"Industrial, Electric & Electronic Machinery",Toscana,S3,0.664285714,S2,0.785714286,S4,0.5,S3,0.642857143,A,A,BB,414943.986,177632.317,74043.576,402654.487,169597.693,65485.12,129677.046,44246.158,15888.888,273141.968,123607.013,47761.014,664317.747,274990.189,274990.189,132253.827,42550.399,6554.627,94843.945,29970.71,4004.491,137797.361,45809.305,9088.404
1058,"Wood, Furniture & Paper Manufacturing",Toscana,S3,0.728571429,S2,0.785714286,S4,0.5,S2,0.785714286,B,B,BB,487992.518,392131.619,394815.262,292131.148,181004.124,170348.633,121038.184,111796.723,103903.373,253015.812,201305.025,192834.963,552989.978,339595.551,339595.551,3552.552,4835.541,20381.482,10758.683,366.587,12364.518,28772.981,31013.731,43087.265
1059,0,Toscana,S3,0.692857143,S2,0.785714286,S3,0.642857143,S3,0.642857143,BB,BB,CCC,116575,116158,121782.001,105453,104139,114210.519,15347,14557,16428.154,94199,91134,90933.166,164368,135071,135071,1999,3445,-3698.911,1526,2321,-3324.11,5827,7036,-2240.57
