ID,sectors,regions,ESG_class,ESG_score,final_rating_env,final_normalized_score_env,final_rating_social,final_normalized_score_social,final_rating_governance,final_normalized_score_governance,MORE_score_2022,MORE_score_2021,MORE_score_2020,total_assets_2022,total_assets_2021,total_assets_2020,current_assets_2022,current_assets_2021,current_assets_2020,shareholders_funds_2022,shareholders_funds_2021,shareholders_funds_2020,current _liabilities_2022,current _liabilities_2021,current _liabilities_2020,turnover_2022,turnover_2021,turnover_2020,EBIT_2022,EBIT_2021,EBIT_2020,net_income_2022,net_income_2021,net_income_2020,EBITDA_2022,EBITDA_2021,EBITDA_2020
32,Transport Manufacturing,Puglia,S4,0.507142857,S2,0.785714286,S5,0.357142857,S5,0.357142857,B,B,BB,39339.441,36712.567,30902.859,17448.972,14454.67,10978.513,9336.054,8864.654,8438.032,20971.398,17217.727,12292.881,31409.685,27654.51,27654.51,1875.224,1882.404,1605.81,883.413,1096.344,875.819,3997.714,3293.275,2524.146
33,Food & Tobacco Manufacturing,Puglia,S3,0.757142857,S2,0.785714286,S3,0.642857143,S2,0.785714286,AAA,AA,AA,48064.664,38430.135,36048.022,28935.118,17092.696,11993.547,33012.502,26197.018,23296.179,12980.057,11454.346,11710.834,39249.062,30779.872,30779.872,9719.081,5462.562,3500.949,6939.545,3975.588,2553.753,12817.043,8677.531,6599.498
34,"Chemicals, Petroleum, Rubber & Plastic",Puglia,S4,0.592857143,S2,0.785714286,S2,0.785714286,S5,0.357142857,AA,AA,AA,46117.602,39210.33,31893.613,25952.53,21653.944,12000.799,26283.055,23723.458,18282.914,14964.997,12126.891,9139.683,29535.678,29328.418,29328.418,5114.873,8001.82,4009.202,4081.6,6240.541,3180.643,8201.1,11369.11,7008.595
35,"Wood, Furniture & Paper Manufacturing",Puglia,S4,0.592857143,S1,0.928571429,S6,0.214285714,S4,0.5,BBB,BBB,A,18860.058,19008.037,23310.533,13634.311,14108.03,18483.502,9061.321,8393.571,7414.438,6804.657,6606.849,11288.603,29121.298,32092.339,32092.339,1195.299,1057.002,2630.9,917.747,979.132,2079.168,1769.787,1575.349,3216.796
36,"Chemicals, Petroleum, Rubber & Plastic",Puglia,S3,0.685714286,S1,0.928571429,S5,0.357142857,S3,0.642857143,BBB,A,BBB,49973.061,48210.134,45046.574,19052.908,18303.979,14928.366,35360.743,33643.267,31041.941,8252.645,8084.357,7113.261,25002.297,27577.587,27577.587,2459.706,3631.88,1365.642,1717.472,2601.328,965.975,4236.032,5336.451,2929.557
37,Food & Tobacco Manufacturing,Puglia,S4,0.628571429,S2,0.785714286,S3,0.642857143,S4,0.5,BB,BB,BBB,35132.355,30978.341,27430.153,18975.834,14771.127,12026.698,13117.788,12314.738,12458.067,18103.443,13402.697,11024.446,44400.258,27542.872,27542.872,589.123,36.823,1019.259,797.177,133.561,628.07,1632.965,58.105,1905.256
38,Food & Tobacco Manufacturing,Puglia,S3,0.735714286,S1,0.928571429,S1,0.928571429,S4,0.5,BB,BB,BB,39783.446,45442.968,33953.516,29285.727,36726.842,25377.981,10814.675,9399.111,7925.1,20501.339,25324.216,13332.023,26482.942,36404.141,36404.141,2330.076,2129.245,1807.537,1415.563,1474.01,1034.803,3688.954,3329.976,3080.405
39,"Chemicals, Petroleum, Rubber & Plastic",Puglia,S4,0.478571429,S2,0.785714286,S6,0.214285714,S5,0.357142857,BBB,BBB,BBB,30481.632,31719.03,25919.445,21903.59,22517.83,16054.116,19834.404,17978.707,15903.702,9004.836,11656.173,7337.269,26328.525,23635.663,23635.663,2492.441,2739.229,2940.216,1793.407,2052.684,2231.971,3609.985,3654.004,3622.242
40,"Industrial, Electric & Electronic Machinery",Puglia,S4,0.571428571,S2,0.785714286,S5,0.357142857,S4,0.5,A,BB,BB,27798.229,25926.066,20512.723,16886.977,14342.088,8471.88,7713.065,5851.007,5127.665,17190.688,14898.402,9568.207,25526.082,18245.601,18245.601,3551.173,847.827,438.985,2648.192,723.343,456.459,5874.049,2776.2,2171.419
41,Food & Tobacco Manufacturing,Puglia,S5,0.45,S2,0.785714286,S7,0.071428571,S5,0.357142857,0,BBB,BB,n.a.,22730.621,19029.388,n.a.,11613.923,9981.504,n.a.,6874.804,5658.883,n.a.,9631.231,6209.957,n.a.,23025.815,23025.815,n.a.,2170.751,1732.453,n.a.,1593.191,1114.487,n.a.,3566.689,2931.399
