ID,ESG_class,final_normalized_score_env,final_normalized_score_social,final_normalized_score_governance,MORE_score_2022,MORE_score_2021,MORE_score_2020,total_assets_2022,total_assets_2021,total_assets_2020,current_assets_2022,current_assets_2021,current_assets_2020,shareholders_funds_2022,shareholders_funds_2021,shareholders_funds_2020,current _liabilities_2022,current _liabilities_2021,current _liabilities_2020,turnover_2022,turnover_2021,EBIT_2022,EBIT_2021,EBIT_2020,net_income_2022,net_income_2021,net_income_2020,EBITDA_2022,EBITDA_2021,EBITDA_2020,sectors_Financials,sectors_Health.Util,sectors_Manufacturing,sectors_Tech.Com,regions_Center,regions_Islands,regions_Northeast,regions_Northwest,regions_South
1313,S3,0.785714286,0.642857143,0.642857143,5,6,4,39466.008,46614.567,37355.573,31764.322,37043.528,30953.234,14759.585,13209.627,14042.691,19615.045,28500.523,20011.79,41077.284,46770.35,-1452.896,-887.595,668.889,-1521.964,-870.659,110.767,1552.948,1826.963,2550.667,False,False,True,False,False,False,False,True,False
1388,S3,0.785714286,0.642857143,0.642857143,1,1,1,9203.134,7846.286,8206.803,6599.833,4421.191,4222.701,7510.121,6438.781,7119.396,1347.547,1115.785,778.664,6615.775,5378.08,3453.43,2427.081,1332.144,2571.339,1819.387,905.456,4132.129,3113.917,2007.273,False,False,True,False,False,False,False,True,False
1466,S3,0.928571429,0.642857143,0.642857143,4,4,4,9964.773,8522.847,8356.094,9263.361,7815.748,7653.38,3148.353,2843.575,2127.693,4899.519,3173.45,2976.104,11891.747,10050.527,1007.861,993.781,929.32,733.17,677.662,660.21,1227.261,1227.471,1154.103,True,False,False,False,False,False,False,True,False
397,S3,0.928571429,0.642857143,0.642857143,5,4,4,9949.112,8860.02,6755.631,8014.004,6817.822,4556.151,1153.124,1331.212,1164.386,5480.682,4547.223,4002.284,15785.62,11742.059,309.862,420.717,383.352,69.719,163.709,158.274,705.438,766.688,595.967,True,False,False,False,False,False,True,False,False
861,S3,0.785714286,0.642857143,0.642857143,4,4,4,94874.055,88760.023,83175.391,55195.369,51526.643,50619.181,26043.956,24643.964,22974.082,47825.841,45902.515,41574.44,86853.246,75677.984,2037.447,1717.429,2165.914,1106.356,2249.599,2097.444,8083.758,5659.986,4953.942,False,False,True,False,False,False,False,True,False
1352,S3,0.785714286,0.642857143,0.642857143,1,1,2,19875.316,18137.861,14723.099,17635.198,16050.084,12151.447,10942.58,9368.83,7335.188,6368.928,6138.362,4476.981,19777.634,18440.149,2569.427,2651.403,1493.715,2473.747,2033.645,1186.457,3225.42,3293.182,1932.201,False,False,True,False,False,False,False,True,False
186,S3,0.928571429,0.642857143,0.642857143,2,4,6,5363.505,3729.155,3238.787,4979.007,3428.618,3017.989,1110.382,419.601,217.435,3376.405,2431.219,2703.725,8391.64,6181.042,1020.618,328.17,-13.671,690.781,152.166,-28.49,1184.188,481.681,57.515,False,True,False,False,True,False,False,False,False
349,S3,0.785714286,0.642857143,0.642857143,7,5,7,5695.147,6995.413,7348.261,1390.028,2428.694,2691.099,1166.08,1766.581,1765.136,2170.864,3453.154,3732.08,9613.058,11499.799,-502.773,96.999,-223.002,-600.501,1.446,-427.576,-122.624,196.203,4333.141076335878,False,False,False,False,False,False,False,True,False
329,S3,0.785714286,0.642857143,0.642857143,3,4,4,1134.414,1023.824,759.095,763.805,711.538,492.855,299.081,211.526,156.277,470.337,445.815,330.467,2272.084,1109.426,156.734,80.608,72.568,66.692,55.25,43.912,231.76,125.773,104.586,False,False,True,False,False,False,False,True,False
1354,S3,0.785714286,0.642857143,0.642857143,5,5,6,19398.985,20463.761,21275.167,10728.515,9889.973,9007.456,6531.027,7288.422,7489.305,7178.233,7292.356,6082.426,18849.731,16720.054,-931.516,-925.672,-3057.491,-757.394,-200.884,-3021.059,1146.091,1168.67,-902.298,False,False,True,False,False,False,False,True,False
934,S4,0.357142857,0.5,0.642857143,3,3,3,84725.27000546448,12754.959,12572.562,49114.43432513661,10048.383,9657.854,30380.33081693989,5681.865,5056.363,36294.25451639345,5072.562,5703.967,128322.42044808745,14160.115,5509.93537978142,660.09,839.03,4401.0814043715845,448.817,605.757,9368.34388150289,1414.62,1429.177,False,False,False,False,False,False,False,True,False
189,S3,0.928571429,0.642857143,0.642857143,5,5,6,10661.314,10445.241,5621.038,5276.811,4875.209,1685.202,549.003,454.511,71.832,8636.892,8326.215,5193.011,1720.631,3752.711,167.304,605.491,26.176,94.492,382.678,12.434,855.073,1434.589,27.782,False,False,False,True,True,False,False,False,False
427,S4,0.357142857,0.642857143,0.642857143,2,1,2,5901.915,5823.581,5906.746,4152.584,3647.199,3030.464,2382.123,2667.903,2672.183,2704.418,2650.629,2707.758,6752.574,6948.338,246.254,671.52,656.614,197.102,482.879,487.159,685.759,1190.575,810.055,False,False,True,False,False,False,False,False,True
965,S4,0.357142857,0.642857143,0.642857143,3,4,4,143107.841,122522.71257142856,109799.235,131296.445,67154.31380026456,87186.327,52092.699,45340.678486772485,33509.503,84180.24,47177.94550925926,51535.22,192672.977,94921.11701190476,20978.201,6231.610802910053,4780.077,13612.673,4643.575936507937,3087.644,23936.732,11664.737347708895,7283.34,False,False,True,False,False,False,True,False,False
595,S3,0.785714286,0.642857143,0.642857143,4,4,4,307946.0,246364.0,202769.0,169550.0,124038.0,93449.0,96428.0,68505.0,51909.0,147856.0,109623.0,98588.0,300326.0,230905.0,40205.0,21037.0,15132.0,30041.0,16113.0,9239.0,52587.0,32357.0,25508.0,False,False,True,False,False,False,False,False,True
612,S3,0.785714286,0.642857143,0.642857143,3,2,2,97807.753,97007.79,90780.449,54956.17,51262.229,41592.688,52653.88,51615.071,49681.887,36516.751,32733.125,25156.372,83558.922,67204.468,2687.957,3951.978,4250.328,2538.813,2933.18,3122.586,7610.78,9107.159,9161.52,False,False,True,False,False,False,False,False,True
1045,S3,0.928571429,0.642857143,0.642857143,1,1,1,324622.1809837838,1918.617,2051.336,136080.51671351353,1867.493,2008.409,99533.6884918919,794.798,997.255,119434.61881621621,1013.691,962.798,339074.7970702703,3249.637,15183.700118918918,703.024,988.298,11959.991627027026,505.543,708.13,33457.57769318182,707.613,993.755,False,True,False,False,False,False,True,False,False
646,S3,0.785714286,0.642857143,0.642857143,3,4,4,6150.442,5071.404,5011.4,5532.172,4656.366,4605.008,1537.866,1208.383,974.349,4162.36,3415.483,3544.192,6271.485,5341.744,439.835,350.226,107.726,329.483,234.034,59.41,644.531,538.712,247.191,False,False,False,True,False,False,False,False,True
308,S3,0.928571429,0.642857143,0.642857143,3,3,2,1723.125,1676.207,1763.423,1511.602,1467.56,1554.776,1438.82,1397.389,1353.35,80.381,13.471,60.733,289.867,214.041,89.35,91.262,464.426,41.434,44.039,400.15,89.936,91.566,464.76,True,False,False,False,False,True,False,False,False
603,S3,0.785714286,0.642857143,0.642857143,2,3,3,134242.213,99393.682,75375.136,70112.778,38405.906,29407.266,50480.271,34699.126,26967.547,70527.217,53523.885,36931.438,92989.745,54567.98,20411.694,10761.925,2324.197,15781.145,7725.362,1890.259,28031.853,16062.341,6973.452,False,False,True,False,False,False,False,False,True
1638,S3,0.928571429,0.642857143,0.642857143,5,5,4,15393.776,18639.804,14542.211,8446.433,11459.643,10300.914,1652.457,1631.487,1382.933,5663.832,8399.411,6933.962,17368.406,17252.206,302.726,585.225,391.688,20.968,248.556,155.857,1841.573,1765.534,2411.786,False,True,False,False,False,False,False,False,True
